Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_ROC_AUC
Logistic Regression,0.75,0.5581395348837209,0.8,0.6575342465753425,0.8058333333333334,0.7854910714285716
Random Forest,0.755,0.5901639344262295,0.6,0.5950413223140496,0.8051190476190476,0.7954241071428572
Gradient Boosting,0.795,0.6938775510204082,0.5666666666666667,0.6238532110091742,0.7939285714285714,0.770796130952381
KNN,0.755,0.6666666666666666,0.36666666666666664,0.47311827956989244,0.746904761904762,0.7396019345238095
Decision Tree,0.57,0.37735849056603776,0.6666666666666666,0.4819277108433735,0.5989880952380953,0.6886904761904762
